Title,Url,Comment
Htmx changes license to Zero-Clause BSD,https://github.com/bigskysoftware/htmx/commit/e16f1865a494b6281f8a44ed0db5338e718b3f07,10
Teach Yourself Programming in Ten Years (1998),https://norvig.com/21-days.html,72
Scrum Sucks,https://blog.mb-consulting.dev/scrum-sucks-9960011fc5cf,3
"FSRS: A modern, efficient spaced repetition algorithm",https://github.com/open-spaced-repetition/fsrs4anki/wiki/ABC-of-FSRS,73
SQLite: Wal2 Mode,https://www.sqlite.org/cgi/src/doc/wal2/doc/wal2.md,35
(Unsuccessfully) Fine-tuning GPT to play &quot;Connections&quot;,"https://www.danielcorin.com/posts/2024/fine-tuning-connections/"" rel=""nofollow",2
Effortless OpenBSD Audio and Desktop Screen Recording Guide,"https://www.undeadly.org/cgi?action=article;sid=20240115170740"" rel=""nofollow",13
Feynman Sprinkler [video],https://www.youtube.com/watch?v=ued2cEcfAio,7
What&#x27;s the Story on the &quot;Toxic Lady&quot;?,https://www.straightdope.com/21342164/what-s-the-story-on-the-toxic-lady,15
Emu War,https://en.wikipedia.org/wiki/Emu_War,8
Cat Drop,https://en.wikipedia.org/wiki/Operation_Cat_Drop,39
MIT MicroMasters,"https://micromasters.mit.edu/"" rel=""nofollow",3
ChatGPT does Advent of Code 2023,https://www.themotte.org/post/797/chatgpt-vs-advent-of-code,3
Japan&#x27;s Comfort Food: The Onigiri,https://one-from-nippon.ghost.io/onigiri/,135
A periodic table of visualization methods,https://www.visual-literacy.org/periodic_table/periodic_table.html,136
Lago – open-source Stripe alternative is hiring a Founding Marketer,https://www.ycombinator.com/companies/lago/jobs/twKO87q-founding-marketer,142
The neglected clean heat we flush down the drains,https://www.bbc.co.uk/future/article/20240103-sewage-a-low-cost-low-carbon-way-to-warm-homes,181
FossifyOrg fork – floss replacement for Simple Mobile Tools,https://github.com/FossifyOrg,191
Slashing Data Transfer Costs in AWS by 99%,https://www.bitsand.cloud/posts/slashing-data-transfer-costs/,109
